. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.49553  -1.58201   0.12259   0.96389  
      	     	          	           	          	           	             	                                      	 0.36956   0.08516  -0.61395   0.15922  
      	     	          	           	          	           	             	                                      	 0.13601   0.70062   0.16659  -1.00322  

  #50	12   	-1941.05435	Yes        	4        	4.000    	0.000    	 0.22400   0.21632   0.29702   0.26266	-1.31898   0.38271   0.58304   0.35323  
      	     	          	           	          	           	             	                                      	 0.39628  -1.12101   0.23005   0.49468  
      	     	          	           	          	           	             	                                      	 0.43969   0.16755  -0.76810   0.16086  
      	     	          	           	          	           	             	                                      	 0.30124   0.40741   0.18191  -0.89056  

  #51	12   	-1964.72764	Yes        	4        	4.000    	0.000    	 0.23228   0.22400   0.29303   0.25069	-0.99565   0.30645   0.46655   0.22265  
      	     	          	           	          	           	             	                                      	 0.31778  -1.28001   0.26786   0.69437  
      	     	          	           	          	           	             	                                      	 0.36982   0.20475  -0.75611   0.18154  
      	     	          	           	          	           	             	                                      	 0.20630   0.62042   0.21220  -1.03892  

  #52	12   	-1986.26775	Yes        	4        	4.000    	0.000    	 0.20944   0.24870   0.27262   0.26924	-1.11238   0.46015   0.42958   0.22265  
      	     	          	           	          	           	             	                                      	 0.38752  -1.28036   0.13719   0.75565  
      	     	          	           	          	           	             	                                      	 0.33004   0.12515  -0.62016   0.16496  
      	     	          	           	          	           	             	                                      	 0.17320   0.69798   0.16703  -1.03821  

  #53	12   	-1885.73750	Yes        	4        	4.000    	0.000    	 0.26804   0.22597   0.25177   0.25422	-1.02802   0.29506   0.46271   0.27024  
      	     	          	           	          	           	             	                                      	 0.34998  -1.20643   0.23324   0.62321  
      	     	          	           	          	           	             	                                      	 0.49262   0.20934  -0.82477   0.12280  
      	     	          	           	          	           	             	                                      	 0.28493   0.55396   0.12161  -0.96051  

  #54	12   	-1873.62460	Yes        	4        	4.000    	0.000    	 0.23396   0.21216   0.28738   0.26650	-1.08648   0.31459   0.55135   0.22054  
      	     	          	           	          	           	             	                                      	 0.34692  -1.32915   0.24219   0.74004  
      	     	          	           	          	           	             	                                      	 0.44885   0.17880  -0.75787   0.13021  
      	     	          	           	          	           	             	                                      	 0.19360   0.58914   0.14041  -0.92315  

  #55	12   	-1935.41957	Yes        	4        	4.000    	0.000    	 0.23972   0.23266   0.26427   0.26335	-0.92242   0.16914   0.49036   0.26292  
      	     	          	           	          	           	             	                                      	 0.17427  -1.20053   0.33107   0.69519  
      	     	          	           	          	           	             	                                      	 0.44480   0.29147  -0.88805   0.15178  
      	     	          	           	          	           	             	                                      	 0.23932   0.61417   0.15231  -1.00580  

  #56	12   	-1993.29874	Yes        	4        	4.000    	0.000    	 0.22055   0.19141   0.29479   0.29325	-1.26661   0.30644   0.60072   0.35945  
      	     	          	           	          	           	             	                                      	 0.35309  -1.35200   0.38190   0.61701  
      	     	          	           	          	           	             	                                      	 0.44945   0.24798  -0.79731   0.09988  
      	     	          	           	          	           	             	                                      	 0.27034   0.40273   0.10041  -0.77348  

  #57	12   	-1951.71852	Yes        	4        	4.000    	0.000    	 0.23786   0.19914   0.27382   0.28918	-1.12687   0.53068   0.40919   0.18700  
      	     	          	           	          	           	             	                                      	 0.63387  -1.66111   0.32879   0.69846  
      	     	          	           	          	           	             	                                      	 0.35546   0.23912  -0.69463   0.10005  
      	     	          	           	          	           	             	                                      	 0.15381   0.48098   0.09474  -0.72953  

  #58	12   	-1921.61397	Yes        	4        	4.000    	0.000    	 0.26395   0.19007   0.27284   0.27315	-1.04034   0.27328   0.46870   0.29836  
      	     	          	           	          	           	             	                                      	 0.37950  -1.30434   0.19890   0.72594  
      	     	          	           	          	           	             	                                      	 0.45343   0.13856  -0.77386   0.18187  
      	     	          	           	          	           	             	                                      	 0.28832   0.50514   0.18167  -0.97513  

  #59	12   	-1912.18617	Yes        	4        	4.000    	0.000    	 0.25760   0.17746   0.28093   0.28400	-0.95832   0.32224   0.48740   0.14868  
      	     	          	           	          	           	             	                                      	 0.46775  -1.71491   0.25007   0.99708  
      	     	          	           	          	           	             	                                      	 0.44692   0.15797  -0.71812   0.11324  
      	     	          	           	          	           	             	                                      	 0.13485   0.62304   0.11202  -0.86991  

  #60	12   	-2051.47548	Yes        	4        	4.000    	0.000    	 0.23459   0.19749   0.26648   0.30144	-1.01558   0.31509   0.45662   0.24387  
      	     	          	           	          	           	             	                                      	 0.37429  -1.47416   0.31517   0.78470  
      	     	          	           	          	           	             	                                      	 0.40197   0.23357  -0.80270   0.16716  
      	     	          	           	          	           	             	                                      	 0.18979   0.51408   0.14778  -0.85165  

  #61	12   	-1921.33119	Yes        	4        	4.000    	0.000    	 0.21486   0.24800   0.28330   0.25384	-1.11781   0.27167   0.54527   0.30087  
      	     	          	           	          	           	             	                                      	 0.23536  -1.13156   0.16343   0.73278  
      	     	          	           	          	           	             	                                      	 0.41353   0.14306  -0.68921   0.13261  
      	     	          	           	          	           	             	                                      	 0.25466   0.71594   0.14801  -1.11861  

  #62	12   	-1976.02890	Yes        	4        	4.000    	0.000    	 0.24156   0.22713   0.27839   0.25292	-1.03208   0.34089   0.52359   0.16760  
      	     	          	           	          	           	             	                                      	 0.36254  -1.28568   0.30388   0.61925  
