"","x"
"794","OG0001049:"
"795","OG0001063:"
"796","OG0001070:"
"797","OG0001071:"
"798","OG0001072:"
"799","OG0001076:"
"800","OG0001079:"
"801","OG0001090:"
"802","OG0001095:"
"803","OG0001097:"
"804","OG0001110:"
"805","OG0001113:"
"806","OG0001145:"
"807","OG0001156:"
"808","OG0001161:"
"809","OG0001162:"
"810","OG0001184:"
"811","OG0001185:"
"812","OG0001191:"
"813","OG0001192:"
"814","OG0001193:"
"815","OG0001194:"
"816","OG0001207:"
"817","OG0001269:"
"818","OG0001270:"
"819","OG0001276:"
"820","OG0001277:"
"821","OG0001280:"
"822","OG0001316:"
"823","OG0001319:"
"824","OG0001320:"
"825","OG0001333:"
"826","OG0001360:"
"827","OG0001366:"
"828","OG0001367:"
"829","OG0001371:"
"830","OG0001372:"
"831","OG0001378:"
"832","OG0001385:"
"833","OG0001406:"
"834","OG0001410:"
"835","OG0001419:"
"836","OG0001435:"
"837","OG0001436:"
"838","OG0001438:"
"839","OG0001449:"
"840","OG0001457:"
"841","OG0001471:"
"842","OG0001491:"
"843","OG0001514:"
"844","OG0001534:"
"845","OG0001535:"
"846","OG0001538:"
"847","OG0001545:"
"848","OG0001564:"
"849","OG0001607:"
"850","OG0001615:"
"851","OG0001624:"
"852","OG0001706:"
"853","OG0001726:"
"854","OG0001749:"
"855","OG0001782:"
"856","OG0001789:"
"857","OG0001792:"
"858","OG0001800:"
"859","OG0001808:"
"860","OG0001851:"
"861","OG0001858:"
"862","OG0001860:"
"863","OG0001889:"
"864","OG0001901:"
"865","OG0001907:"
"866","OG0001916:"
"867","OG0001918:"
"868","OG0001922:"
"869","OG0001943:"
"870","OG0001962:"
"871","OG0001967:"
"872","OG0001980:"
"873","OG0002005:"
"874","OG0002049:"
"875","OG0002107:"
"876","OG0002111:"
"877","OG0002151:"
"878","OG0002165:"
"879","OG0002242:"
"880","OG0002255:"
"881","OG0002258:"
"882","OG0002259:"
"883","OG0002260:"
"884","OG0002290:"
"885","OG0002401:"
"886","OG0002517:"
"887","OG0002523:"
"888","OG0002734:"
"889","OG0002770:"
"890","OG0002771:"
"891","OG0002773:"
"892","OG0002777:"
"893","OG0002795:"
"894","OG0002796:"
"895","OG0002802:"
"896","OG0002806:"
"897","OG0002808:"
"898","OG0002823:"
"899","OG0002824:"
"900","OG0002828:"
"901","OG0002835:"
"902","OG0002838:"
"903","OG0002845:"
"904","OG0002846:"
"905","OG0002858:"
"906","OG0002861:"
"907","OG0002862:"
"908","OG0003237:"
"909","OG0003241:"
"910","OG0003257:"
"911","OG0000016:"
"912","OG0000034:"
"913","OG0000056:"
"914","OG0000073:"
"915","OG0000075:"
"916","OG0000083:"
"917","OG0000092:"
"918","OG0000100:"
"919","OG0000111:"
"920","OG0000159:"
"921","OG0000163:"
"922","OG0000174:"
"923","OG0000179:"
"924","OG0000180:"
"925","OG0000181:"
"926","OG0000184:"
"927","OG0000189:"
"928","OG0000224:"
"929","OG0000228:"
"930","OG0000235:"
"931","OG0000246:"
"932","OG0000256:"
"933","OG0000260:"
"934","OG0000263:"
"935","OG0000276:"
"936","OG0000281:"
"937","OG0000284:"
"938","OG0000287:"
"939","OG0000300:"
"940","OG0000301:"
"941","OG0000304:"
"942","OG0000306:"
"943","OG0000311:"
"944","OG0000312:"
"945","OG0000314:"
"946","OG0000315:"
"947","OG0000350:"
"948","OG0000351:"
"949","OG0000353:"
"950","OG0000376:"
"951","OG0000396:"
"952","OG0000398:"
"953","OG0000409:"
"954","OG0000435:"
"955","OG0000492:"
"956","OG0000495:"
"957","OG0000496:"
"958","OG0000497:"
"959","OG0000506:"
"960","OG0000507:"
"961","OG0000509:"
"962","OG0000522:"
"963","OG0000523:"
"964","OG0000524:"
"965","OG0000526:"
"966","OG0000533:"
"967","OG0000543:"
"968","OG0000544:"
"969","OG0000572:"
"970","OG0000576:"
"971","OG0000579:"
"972","OG0000600:"
"973","OG0000604:"
"974","OG0000635:"
"975","OG0000641:"
"976","OG0000644:"
"977","OG0000645:"
"978","OG0000667:"
"979","OG0000687:"
"980","OG0000692:"
"981","OG0000705:"
"982","OG0000706:"
"983","OG0000710:"
"984","OG0000724:"
"985","OG0000740:"
"986","OG0000756:"
"987","OG0000791:"
"988","OG0000799:"
"989","OG0000805:"
"990","OG0000819:"
"991","OG0000851:"
"992","OG0000858:"
"993","OG0000859:"
"994","OG0000873:"
"995","OG0000881:"
"996","OG0000897:"
"997","OG0000905:"
"998","OG0000925:"
"999","OG0000930:"
"1000","OG0000933:"
"1001","OG0000942:"
"1002","OG0000946:"
"1003","OG0000950:"
"1004","OG0000962:"
"1005","OG0000968:"
"1006","OG0000973:"
"1007","OG0000974:"
"1008","OG0001001:"
"1009","OG0001003:"
"1010","OG0001045:"
"1011","OG0001051:"
"1012","OG0001068:"
"1013","OG0001083:"
"1014","OG0001091:"
"1015","OG0001102:"
"1016","OG0001108:"
"1017","OG0001109:"
"1018","OG0001114:"
"1019","OG0001115:"
"1020","OG0001124:"
"1021","OG0001129:"
"1022","OG0001151:"
"1023","OG0001157:"
"1024","OG0001160:"
"1025","OG0001165:"
"1026","OG0001166:"
"1027","OG0001172:"
"1028","OG0001200:"
"1029","OG0001201:"
"1030","OG0001208:"
"1031","OG0001255:"
"1032","OG0001261:"
"1033","OG0001263:"
"1034","OG0001264:"
"1035","OG0001266:"
"1036","OG0001268:"
"1037","OG0001279:"
"1038","OG0001284:"
"1039","OG0001292:"
"1040","OG0001321:"
"1041","OG0001322:"
"1042","OG0001343:"
"1043","OG0001345:"
"1044","OG0001358:"
"1045","OG0001364:"
"1046","OG0001368:"
"1047","OG0001369:"
"1048","OG0001381:"
"1049","OG0001383:"
"1050","OG0001431:"
"1051","OG0001440:"
"1052","OG0001443:"
"1053","OG0001447:"
"1054","OG0001448:"
"1055","OG0001462:"
"1056","OG0001497:"
"1057","OG0001501:"
"1058","OG0001507:"
"1059","OG0001509:"
"1060","OG0001511:"
"1061","OG0001536:"
"1062","OG0001562:"
"1063","OG0001596:"
"1064","OG0001602:"
"1065","OG0001626:"
"1066","OG0001630:"
"1067","OG0001653:"
"1068","OG0001655:"
"1069","OG0001670:"
"1070","OG0001696:"
"1071","OG0001708:"
"1072","OG0001724:"
"1073","OG0001729:"
"1074","OG0001738:"
"1075","OG0001759:"
"1076","OG0001791:"
"1077","OG0001804:"
"1078","OG0001815:"
"1079","OG0001834:"
"1080","OG0001835:"
"1081","OG0001875:"
"1082","OG0001879:"
"1083","OG0001883:"
"1084","OG0001910:"
"1085","OG0001917:"
"1086","OG0001919:"
"1087","OG0001926:"
"1088","OG0002008:"
"1089","OG0002011:"
"1090","OG0002048:"
"1091","OG0002052:"
"1092","OG0002053:"
"1093","OG0002056:"
"1094","OG0002063:"
"1095","OG0002076:"
"1096","OG0002163:"
"1097","OG0002186:"
"1098","OG0002196:"
"1099","OG0002248:"
"1100","OG0002252:"
"1101","OG0002261:"
"1102","OG0002398:"
"1103","OG0002404:"
"1104","OG0002533:"
"1105","OG0002534:"
"1106","OG0000055:"
"1107","OG0000058:"
"1108","OG0000072:"
"1109","OG0000076:"
"1110","OG0000080:"
"1111","OG0000106:"
"1112","OG0000112:"
"1113","OG0000123:"
"1114","OG0000124:"
"1115","OG0000125:"
"1116","OG0000126:"
"1117","OG0000140:"
"1118","OG0000141:"
"1119","OG0000146:"
"1120","OG0000168:"
"1121","OG0000183:"
"1122","OG0000232:"
"1123","OG0000247:"
"1124","OG0000264:"
"1125","OG0000265:"
"1126","OG0000272:"
"1127","OG0000275:"
"1128","OG0000288:"
"1129","OG0000289:"
"1130","OG0000336:"
"1131","OG0000339:"
"1132","OG0000346:"
"1133","OG0000348:"
"1134","OG0000355:"
"1135","OG0000406:"
"1136","OG0000414:"
"1137","OG0000425:"
"1138","OG0000428:"
"1139","OG0000446:"
"1140","OG0000457:"
"1141","OG0000472:"
"1142","OG0000481:"
"1143","OG0000493:"
"1144","OG0000494:"
"1145","OG0000508:"
"1146","OG0000511:"
"1147","OG0000515:"
"1148","OG0000518:"
"1149","OG0000528:"
"1150","OG0000530:"
"1151","OG0000534:"
"1152","OG0000537:"
"1153","OG0000550:"
"1154","OG0000554:"
"1155","OG0000556:"
"1156","OG0000571:"
"1157","OG0000592:"
"1158","OG0000593:"
"1159","OG0000598:"
"1160","OG0000601:"
"1161","OG0000609:"
"1162","OG0000621:"
"1163","OG0000622:"
"1164","OG0000624:"
"1165","OG0000625:"
"1166","OG0000651:"
"1167","OG0000656:"
"1168","OG0000658:"
"1169","OG0000662:"
"1170","OG0000663:"
"1171","OG0000668:"
"1172","OG0000671:"
"1173","OG0000707:"
"1174","OG0000711:"
"1175","OG0000716:"
"1176","OG0000720:"
"1177","OG0000729:"
"1178","OG0000734:"
"1179","OG0000743:"
"1180","OG0000744:"
"1181","OG0000748:"
"1182","OG0000752:"
"1183","OG0000754:"
"1184","OG0000790:"
"1185","OG0000798:"
"1186","OG0000811:"
"1187","OG0000839:"
"1188","OG0000849:"
"1189","OG0000850:"
"1190","OG0000852:"
"1191","OG0000874:"
"1192","OG0000876:"
"1193","OG0000877:"
"1194","OG0000880:"
"1195","OG0000896:"
"1196","OG0000924:"
"1197","OG0000926:"
"1198","OG0000927:"
"1199","OG0000961:"
"1200","OG0000972:"
"1201","OG0000977:"
"1202","OG0001002:"
"1203","OG0001010:"
"1204","OG0001025:"
"1205","OG0001067:"
"1206","OG0001106:"
"1207","OG0001122:"
"1208","OG0001169:"
"1209","OG0001178:"
"1210","OG0001189:"
"1211","OG0001190:"
"1212","OG0001198:"
"1213","OG0001214:"
"1214","OG0001253:"
"1215","OG0001260:"
"1216","OG0001262:"
"1217","OG0001265:"
"1218","OG0001278:"
"1219","OG0001286:"
"1220","OG0001298:"
"1221","OG0001317:"
"1222","OG0001342:"
"1223","OG0001349:"
"1224","OG0001350:"
"1225","OG0001359:"
