"","rn","V1"
"263","OG0000262:",12
"264","OG0000263:",12
"265","OG0000264:",7
"266","OG0000265:",10
"267","OG0000266:",12
"268","OG0000267:",12
"269","OG0000268:",12
"270","OG0000269:",12
"271","OG0000270:",12
"272","OG0000271:",12
"273","OG0000272:",11
"274","OG0000273:",12
"275","OG0000274:",12
"276","OG0000275:",12
"277","OG0000276:",12
"278","OG0000277:",12
"279","OG0000278:",12
"280","OG0000279:",12
"281","OG0000280:",12
"282","OG0000281:",12
"283","OG0000282:",12
"284","OG0000283:",12
"285","OG0000284:",12
"286","OG0000285:",12
"287","OG0000286:",9
"288","OG0000287:",12
"289","OG0000288:",8
"290","OG0000289:",12
"291","OG0000290:",12
"292","OG0000291:",12
"293","OG0000292:",12
"294","OG0000293:",2
"295","OG0000294:",12
"296","OG0000295:",7
"297","OG0000296:",10
"298","OG0000297:",10
"299","OG0000298:",12
"300","OG0000299:",12
"301","OG0000300:",11
"302","OG0000301:",12
"303","OG0000302:",12
"304","OG0000303:",10
"305","OG0000304:",12
"306","OG0000305:",12
"307","OG0000306:",12
"308","OG0000307:",9
"309","OG0000308:",9
"310","OG0000309:",12
"311","OG0000310:",12
"312","OG0000311:",12
"313","OG0000312:",7
"314","OG0000313:",11
"315","OG0000314:",12
"316","OG0000315:",12
"317","OG0000316:",12
"318","OG0000317:",12
"319","OG0000318:",12
"320","OG0000319:",9
"321","OG0000320:",7
"322","OG0000321:",12
"323","OG0000322:",12
"324","OG0000323:",12
"325","OG0000324:",12
"326","OG0000325:",9
"327","OG0000326:",12
"328","OG0000327:",12
"329","OG0000328:",12
"330","OG0000329:",12
"331","OG0000330:",12
"332","OG0000331:",12
"333","OG0000332:",12
"334","OG0000333:",12
"335","OG0000334:",10
"336","OG0000335:",6
"337","OG0000336:",12
"338","OG0000337:",12
"339","OG0000338:",11
"340","OG0000339:",11
"341","OG0000340:",12
"342","OG0000341:",7
"343","OG0000342:",12
"344","OG0000343:",12
"345","OG0000344:",12
"346","OG0000345:",12
"347","OG0000346:",8
"348","OG0000347:",12
"349","OG0000348:",12
"350","OG0000349:",12
"351","OG0000350:",8
"352","OG0000351:",12
"353","OG0000352:",12
"354","OG0000353:",12
"355","OG0000354:",12
"356","OG0000355:",12
"357","OG0000356:",12
"358","OG0000357:",12
"359","OG0000358:",12
"360","OG0000359:",12
"361","OG0000360:",8
"362","OG0000361:",12
"363","OG0000362:",12
"364","OG0000363:",12
"365","OG0000364:",12
"366","OG0000365:",12
"367","OG0000366:",12
"368","OG0000367:",12
"369","OG0000368:",12
"370","OG0000369:",12
"371","OG0000370:",12
"372","OG0000371:",12
"373","OG0000372:",12
"374","OG0000373:",12
"375","OG0000374:",12
"376","OG0000375:",12
"377","OG0000376:",12
"378","OG0000377:",12
"379","OG0000378:",12
"380","OG0000379:",12
