. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.49166  -1.52792   0.12490   0.91136  
      	     	          	           	          	           	             	                                      	 0.70163   0.09817  -0.97440   0.17460  
      	     	          	           	          	           	             	                                      	 0.44477   0.39439   0.09613  -0.93529  

  #59	3   	-3228920.59613	Yes        	4        	4.000    	0.000    	 0.37563   0.13633   0.17332   0.31473	-0.87445   0.17851   0.32404   0.37190  
      	     	          	           	          	           	             	                                      	 0.49187  -1.52954   0.12251   0.91517  
      	     	          	           	          	           	             	                                      	 0.70229   0.09636  -0.97216   0.17351  
      	     	          	           	          	           	             	                                      	 0.44386   0.39641   0.09555  -0.93581  

  #60	3   	-3228285.99855	Yes        	4        	4.000    	0.000    	 0.37576   0.13620   0.17378   0.31427	-0.87551   0.17850   0.32589   0.37112  
      	     	          	           	          	           	             	                                      	 0.49246  -1.52641   0.12527   0.90869  
      	     	          	           	          	           	             	                                      	 0.70467   0.09818  -0.97663   0.17378  
      	     	          	           	          	           	             	                                      	 0.44373   0.39381   0.09610  -0.93363  

  #61	3   	-3224565.58921	Yes        	4        	4.000    	0.000    	 0.37600   0.13618   0.17325   0.31457	-0.87348   0.17757   0.32374   0.37217  
      	     	          	           	          	           	             	                                      	 0.49028  -1.52912   0.12225   0.91659  
      	     	          	           	          	           	             	                                      	 0.70261   0.09610  -0.97245   0.17374  
      	     	          	           	          	           	             	                                      	 0.44484   0.39681   0.09569  -0.93734  

  #62	3   	-3226408.35631	Yes        	4        	4.000    	0.000    	 0.37528   0.13645   0.17316   0.31510	-0.87468   0.17868   0.32284   0.37316  
      	     	          	           	          	           	             	                                      	 0.49142  -1.52449   0.11920   0.91387  
      	     	          	           	          	           	             	                                      	 0.69966   0.09393  -0.97138   0.17778  
      	     	          	           	          	           	             	                                      	 0.44443   0.39573   0.09770  -0.93787  

  #63	3   	-3227752.38580	Yes        	4        	4.000    	0.000    	 0.37597   0.13614   0.17358   0.31431	-0.87276   0.17763   0.32427   0.37086  
      	     	          	           	          	           	             	                                      	 0.49055  -1.52911   0.12402   0.91454  
      	     	          	           	          	           	             	                                      	 0.70238   0.09727  -0.97523   0.17558  
      	     	          	           	          	           	             	                                      	 0.44362   0.39612   0.09697  -0.93671  

  #64	3   	-3224738.54989	Yes        	4        	4.000    	0.000    	 0.37505   0.13622   0.17327   0.31546	-0.87743   0.17753   0.32612   0.37378  
      	     	          	           	          	           	             	                                      	 0.48876  -1.52439   0.12414   0.91149  
      	     	          	           	          	           	             	                                      	 0.70590   0.09760  -0.97575   0.17225  
      	     	          	           	          	           	             	                                      	 0.44438   0.39361   0.09461  -0.93260  

  #65	3   	-3225192.29931	Yes        	4        	4.000    	0.000    	 0.37546   0.13629   0.17310   0.31515	-0.87620   0.17979   0.32586   0.37055  
      	     	          	           	          	           	             	                                      	 0.49529  -1.52884   0.12163   0.91191  
      	     	          	           	          	           	             	                                      	 0.70677   0.09577  -0.97678   0.17424  
      	     	          	           	          	           	             	                                      	 0.44146   0.39437   0.09571  -0.93154  

  #66	3   	-3229337.60392	Yes        	4        	4.000    	0.000    	 0.37592   0.13592   0.17335   0.31480	-0.87354   0.17750   0.32386   0.37218  
      	     	          	           	          	           	             	                                      	 0.49093  -1.53069   0.12214   0.91762  
      	     	          	           	          	           	             	                                      	 0.70231   0.09577  -0.97280   0.17473  
      	     	          	           	          	           	             	                                      	 0.44444   0.39620   0.09622  -0.93685  

